"filename", "language", "JavaScript JSX", "JavaScript", "JSON", "CSV", "Markdown", "comment", "blank", "total"
"c:\Users\21365\Desktop\op\gis\.VSCodeCounter\2024-06-25_18-55-54\details.md", "Markdown", 0, 0, 0, 0, 161, 0, 6, 167
"c:\Users\21365\Desktop\op\gis\.VSCodeCounter\2024-06-25_18-55-54\diff-details.md", "Markdown", 0, 0, 0, 0, 9, 0, 6, 15
"c:\Users\21365\Desktop\op\gis\.VSCodeCounter\2024-06-25_18-55-54\diff.csv", "CSV", 0, 0, 0, 2, 0, 0, 0, 2
"c:\Users\21365\Desktop\op\gis\.VSCodeCounter\2024-06-25_18-55-54\diff.md", "Markdown", 0, 0, 0, 0, 12, 0, 7, 19
"c:\Users\21365\Desktop\op\gis\.VSCodeCounter\2024-06-25_18-55-54\results.csv", "CSV", 0, 0, 0, 154, 0, 0, 0, 154
"c:\Users\21365\Desktop\op\gis\.VSCodeCounter\2024-06-25_18-55-54\results.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\21365\Desktop\op\gis\.VSCodeCounter\2024-06-25_18-55-54\results.md", "Markdown", 0, 0, 0, 0, 71, 0, 7, 78
"c:\Users\21365\Desktop\op\gis\app\(root)\(screens)\inspection\page.jsx", "JavaScript JSX", -17, 0, 0, 0, 0, 3, 3, -11
"c:\Users\21365\Desktop\op\gis\app\(root)\(screens)\layout.jsx", "JavaScript JSX", -2, 0, 0, 0, 0, 0, 0, -2
"c:\Users\21365\Desktop\op\gis\app\(root)\layout.jsx", "JavaScript JSX", 8, 0, 0, 0, 0, 0, 0, 8
"c:\Users\21365\Desktop\op\gis\components\Dashboard\AddUserForm.jsx", "JavaScript JSX", 5, 0, 0, 0, 0, 0, 0, 5
"c:\Users\21365\Desktop\op\gis\components\Inspection\ActionsOfInspection.jsx", "JavaScript JSX", 50, 0, 0, 0, 0, 0, 6, 56
"c:\Users\21365\Desktop\op\gis\components\Inspection\ConstructionRaportForm.jsx", "JavaScript JSX", 28, 0, 0, 0, 0, 0, 0, 28
"c:\Users\21365\Desktop\op\gis\components\Inspection\ConstructionRaportStatus.jsx", "JavaScript JSX", 33, 0, 0, 0, 0, 3, 2, 38
