"filename", "language", "XML", "JSON with Comments", "Markdown", "JavaScript", "JavaScript JSX", "JSON", "CSS", "CSV", "comment", "blank", "total"
"c:\Users\21365\Desktop\op\gis\.VSCodeCounter\2024-06-25_18-55-54\details.md", "Markdown", 0, 0, 161, 0, 0, 0, 0, 0, 0, 6, 167
"c:\Users\21365\Desktop\op\gis\.VSCodeCounter\2024-06-25_18-55-54\diff-details.md", "Markdown", 0, 0, 9, 0, 0, 0, 0, 0, 0, 6, 15
"c:\Users\21365\Desktop\op\gis\.VSCodeCounter\2024-06-25_18-55-54\diff.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2
"c:\Users\21365\Desktop\op\gis\.VSCodeCounter\2024-06-25_18-55-54\diff.md", "Markdown", 0, 0, 12, 0, 0, 0, 0, 0, 0, 7, 19
"c:\Users\21365\Desktop\op\gis\.VSCodeCounter\2024-06-25_18-55-54\results.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 154, 0, 0, 154
"c:\Users\21365\Desktop\op\gis\.VSCodeCounter\2024-06-25_18-55-54\results.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\21365\Desktop\op\gis\.VSCodeCounter\2024-06-25_18-55-54\results.md", "Markdown", 0, 0, 71, 0, 0, 0, 0, 0, 0, 7, 78
"c:\Users\21365\Desktop\op\gis\Api\Index.js", "JavaScript", 0, 0, 0, 8, 0, 0, 0, 0, 3, 2, 13
"c:\Users\21365\Desktop\op\gis\README.md", "Markdown", 0, 0, 23, 0, 0, 0, 0, 0, 0, 14, 37
"c:\Users\21365\Desktop\op\gis\app\(pages)\Sign\Layout.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\21365\Desktop\op\gis\app\(pages)\Sign\page.jsx", "JavaScript JSX", 0, 0, 0, 0, 39, 0, 0, 0, 3, 6, 48
"c:\Users\21365\Desktop\op\gis\app\(pages)\layout.jsx", "JavaScript JSX", 0, 0, 0, 0, 18, 0, 0, 0, 0, 3, 21
"c:\Users\21365\Desktop\op\gis\app\(pages)\login\layout.jsx", "JavaScript JSX", 0, 0, 0, 0, 16, 0, 0, 0, 0, 3, 19
"c:\Users\21365\Desktop\op\gis\app\(pages)\login\page.jsx", "JavaScript JSX", 0, 0, 0, 0, 146, 0, 0, 0, 1, 5, 152
"c:\Users\21365\Desktop\op\gis\app\(pages)\profile\[id]\edit\page.jsx", "JavaScript JSX", 0, 0, 0, 0, 17, 0, 0, 0, 0, 2, 19
"c:\Users\21365\Desktop\op\gis\app\(pages)\profile\[id]\page.jsx", "JavaScript JSX", 0, 0, 0, 0, 57, 0, 0, 0, 0, 2, 59
"c:\Users\21365\Desktop\op\gis\app\(root)\(screens)\Admin\dashboard\page.jsx", "JavaScript JSX", 0, 0, 0, 0, 46, 0, 0, 0, 0, 3, 49
